Municipio ;Departamento;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Yali;Antioquia;44.46119307;50.48840797;50.72772529;55.49774424;57.84997641;65.75559065;64.72379801;73.52997844;77.48695058;71.31211961;89.18942626;107.6616706
Yarumal;Antioquia;359.2901009;405.6445406;408.1282918;453.0237577;460.2860404;494.2804553;525.2759981;571.9146669;611.3020387;564.1222259;711.7655251;888.3027141
Yolombo;Antioquia;186.3050629;194.2925442;201.5735545;207.4870133;179.5170113;189.8885935;201.3716638;224.9318189;234.5914448;236.6615502;345.9573596;413.2242511
Yondo;Antioquia;974.0658165;1201.154378;1031.204685;1362.153279;946.4032928;669.453306;817.2803456;962.2841413;935.7723987;687.4280383;1051.259782;1445.86493
Zaragoza;Antioquia;239.2797703;302.7452574;255.2672298;293.215774;439.1845048;490.6069904;374.5835784;388.5457402;430.3114128;419.5578444;382.1398884;455.8006639
Barranquilla  (dist.port.;Atlantico;14371.6315;16263.70591;17951.33767;19376.07368;21365.9293;23081.87269;24364.16147;25887.90634;27684.5247;26932.51419;30793.60894;36362.8794
Baranoa;Atlantico;313.5912918;327.2993156;545.2378371;656.9773203;657.7682866;650.2055389;689.823729;718.9083206;772.8673248;664.7666432;812.3487329;1021.954359
Campo De La Cruz;Atlantico;72.40307821;81.7721186;94.0262655;104.6972298;110.291199;112.964543;122.8945522;131.3619965;139.2987883;140.7123179;166.1542618;202.4939405
Candelaria;Atlantico;47.98277877;56.74544785;63.70775553;71.33860892;77.30922236;76.63220931;87.76797783;94.59615079;101.9701013;99.57486458;123.0263818;150.6248503
Galapa;Atlantico;240.4430934;265.7674076;298.5413894;383.736128;576.2990362;706.7832497;747.4691843;810.0015375;905.4525877;907.5815188;1328.427051;1541.689551
Juan De Acosta;Atlantico;100.479288;109.9676631;122.9847167;130.7455647;132.5790647;133.3763306;150.3458501;162.9549245;171.1910688;174.1820483;197.1211391;244.5868084
